idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-18211,sympy/sympy,1,1,1,40,0.1392
1,sympy__sympy-18698,sympy/sympy,0,0,1,60,0.2389
2,sympy__sympy-18763,sympy/sympy,1,1,1,59,0.2196
3,sympy__sympy-19040,sympy/sympy,0,0,1,60,0.2582
4,sympy__sympy-19346,sympy/sympy,1,1,1,51,0.2018
5,sympy__sympy-19495,sympy/sympy,0,0,1,60,0.2587
6,sympy__sympy-19637,sympy/sympy,1,1,1,22,0.0621
7,sympy__sympy-19783,sympy/sympy,0,0,1,60,0.2189
8,sympy__sympy-19954,sympy/sympy,1,1,1,21,0.0784
9,sympy__sympy-20154,sympy/sympy,1,1,1,30,0.116
10,sympy__sympy-20428,sympy/sympy,0,0,1,60,0.2456
11,sympy__sympy-20438,sympy/sympy,0,0,1,60,0.2311
12,sympy__sympy-20590,sympy/sympy,1,1,1,28,0.0767
13,sympy__sympy-20801,sympy/sympy,0,0,1,60,0.2152
14,sympy__sympy-20916,sympy/sympy,1,1,1,52,0.1918
15,sympy__sympy-21379,sympy/sympy,0,0,1,60,0.258
16,sympy__sympy-21596,sympy/sympy,1,1,1,58,0.3302
17,sympy__sympy-21612,sympy/sympy,0,0,1,60,0.2808
18,sympy__sympy-21847,sympy/sympy,1,1,1,33,0.1469
19,sympy__sympy-21930,sympy/sympy,0,0,1,60,0.2177
20,sympy__sympy-22080,sympy/sympy,0,0,1,60,0.2786
21,sympy__sympy-22456,sympy/sympy,0,0,1,60,0.1857
22,sympy__sympy-22714,sympy/sympy,1,1,1,32,0.1281
23,sympy__sympy-22914,sympy/sympy,0,0,1,60,0.1888
24,sympy__sympy-23262,sympy/sympy,1,1,1,58,0.214
25,sympy__sympy-23413,sympy/sympy,0,0,1,33,0.5354
26,sympy__sympy-23534,sympy/sympy,1,1,1,45,0.1818
27,sympy__sympy-23824,sympy/sympy,1,1,1,55,0.2177
28,sympy__sympy-23950,sympy/sympy,1,1,1,53,0.1663
29,sympy__sympy-24066,sympy/sympy,1,1,1,54,0.238
30,sympy__sympy-24213,sympy/sympy,1,1,1,49,0.2152
31,sympy__sympy-24443,sympy/sympy,1,1,1,43,0.1958
32,sympy__sympy-24539,sympy/sympy,1,1,1,28,0.0889
33,sympy__sympy-24562,sympy/sympy,1,1,1,40,0.1639
34,sympy__sympy-24661,sympy/sympy,0,0,1,60,0.2906
