idx,instance_id,repo,judge_success,nc,n,steps,cost
0,sympy__sympy-18211,sympy/sympy,0,0,1,60,0.208
1,sympy__sympy-18698,sympy/sympy,0,0,1,60,0.3054
2,sympy__sympy-18763,sympy/sympy,1,1,1,48,0.1851
3,sympy__sympy-19040,sympy/sympy,0,0,1,60,0.2313
4,sympy__sympy-19346,sympy/sympy,1,1,1,40,0.1483
5,sympy__sympy-19495,sympy/sympy,0,0,1,60,0.2729
6,sympy__sympy-19637,sympy/sympy,1,1,1,25,0.079
7,sympy__sympy-19783,sympy/sympy,0,0,1,60,0.2388
8,sympy__sympy-19954,sympy/sympy,1,1,1,26,0.0931
9,sympy__sympy-20154,sympy/sympy,1,1,1,32,0.1113
10,sympy__sympy-20428,sympy/sympy,0,0,1,60,0.1885
11,sympy__sympy-20438,sympy/sympy,0,0,1,60,0.2532
12,sympy__sympy-20590,sympy/sympy,1,1,1,35,0.1089
13,sympy__sympy-20801,sympy/sympy,1,1,1,58,0.1998
14,sympy__sympy-20916,sympy/sympy,1,1,1,37,0.1227
15,sympy__sympy-21379,sympy/sympy,1,1,1,47,0.2126
16,sympy__sympy-21596,sympy/sympy,0,0,1,60,0.3204
17,sympy__sympy-21612,sympy/sympy,0,0,1,60,0.3392
18,sympy__sympy-21847,sympy/sympy,1,1,1,41,0.1867
19,sympy__sympy-21930,sympy/sympy,0,0,1,60,0.2708
20,sympy__sympy-22080,sympy/sympy,0,0,1,60,0.2109
21,sympy__sympy-22456,sympy/sympy,0,0,1,60,0.2463
22,sympy__sympy-22714,sympy/sympy,1,1,1,51,0.2306
23,sympy__sympy-22914,sympy/sympy,1,1,1,47,0.1936
24,sympy__sympy-23262,sympy/sympy,1,1,1,49,0.1858
25,sympy__sympy-23413,sympy/sympy,0,0,1,48,0.5159
26,sympy__sympy-23534,sympy/sympy,1,1,1,43,0.1638
27,sympy__sympy-23824,sympy/sympy,1,1,1,33,0.0969
28,sympy__sympy-23950,sympy/sympy,1,1,1,39,0.148
29,sympy__sympy-24066,sympy/sympy,0,0,1,60,0.2385
30,sympy__sympy-24213,sympy/sympy,1,1,1,36,0.1235
31,sympy__sympy-24443,sympy/sympy,1,1,1,45,0.2247
32,sympy__sympy-24539,sympy/sympy,1,1,1,31,0.0963
33,sympy__sympy-24562,sympy/sympy,1,1,1,47,0.1783
34,sympy__sympy-24661,sympy/sympy,0,0,1,60,0.2652
