idx,task_id,template_id,reward,judge,nc,n,steps
0,21,222,0,0,0,8,4
1,22,222,1,0,8,8,1
2,23,222,1,1,8,8,3
3,24,222,0,0,2,8,2
4,25,222,0,0,0,8,3
5,26,222,1,1,8,8,3
6,47,197,1,1,8,8,4
7,48,197,1,1,8,8,4
8,49,197,0,0,0,8,4
9,50,197,0,0,0,8,4
10,51,197,0,0,0,8,4
11,96,193,0,0,7,8,3
12,117,161,1,1,8,8,4
13,118,151,0,0,0,8,4
14,124,159,0,0,0,8,5
15,125,159,0,0,0,8,4
16,126,159,1,1,6,8,14
17,141,162,0,0,0,8,6
18,142,162,0,0,0,8,8
19,143,162,1,1,8,8,5
20,144,162,0,0,0,8,8
21,145,162,1,1,8,8,5
22,146,155,0,0,0,8,7
23,147,155,0,0,1,8,30
24,148,155,1,1,8,8,8
25,149,155,1,1,8,8,12
26,150,155,1,1,7,8,7
27,158,171,1,1,3,8,3
28,159,171,0,0,4,8,30
29,160,171,1,1,1,8,16
30,161,171,0,0,4,8,12
31,162,171,1,1,8,8,11
32,163,136,0,0,0,8,18
33,164,136,1,1,7,8,2
34,165,136,0,0,0,8,2
35,166,136,1,1,6,8,1
36,167,136,0,0,0,8,2
37,188,214,1,1,8,8,5
38,189,214,0,0,7,8,5
39,190,214,1,1,8,8,5
40,191,214,1,0,8,8,1
41,192,214,0,0,7,8,5
42,225,135,1,1,8,8,4
43,226,370,0,0,0,8,5
44,227,370,1,1,8,8,3
45,228,370,1,1,8,8,5
46,229,370,1,1,8,8,5
47,230,370,1,1,8,8,5
48,231,213,1,1,8,8,4
49,232,213,0,0,7,8,5
50,233,213,1,1,8,8,4
51,234,213,1,1,7,8,4
52,235,213,0,0,7,8,7
53,238,138,0,0,0,8,6
54,239,138,0,0,0,8,9
55,240,138,0,0,2,8,9
56,241,138,0,0,0,8,6
57,242,138,0,0,0,8,6
58,260,211,1,1,8,8,1
59,261,211,1,1,8,8,2
60,262,211,1,1,8,8,3
61,263,211,1,1,8,8,3
62,264,211,1,1,8,8,3
63,269,139,1,1,7,8,20
64,270,139,1,1,8,8,6
65,271,139,1,1,6,8,6
66,272,139,1,1,5,8,7
67,273,139,1,1,8,8,6
68,274,212,1,1,8,8,2
69,275,212,1,1,8,8,2
70,276,212,1,1,8,8,2
71,277,212,0,0,0,8,3
72,278,212,1,1,8,8,2
73,279,204,0,0,0,8,20
74,280,204,0,0,0,8,5
75,281,204,0,0,0,8,16
76,282,204,0,0,1,8,14
77,283,210,1,1,5,8,6
78,284,207,1,1,6,8,13
79,285,207,0,0,3,8,9
80,286,207,0,0,0,8,8
81,298,180,1,1,8,8,3
82,299,180,1,1,8,8,3
83,300,180,0,0,7,8,4
84,301,180,1,1,8,8,11
85,302,180,1,1,8,8,6
86,313,134,0,0,2,8,18
87,319,160,0,0,0,8,5
88,320,160,1,1,2,8,7
89,321,160,0,0,0,8,20
90,322,160,1,1,8,8,5
91,323,160,0,0,0,8,8
92,324,208,1,1,8,8,10
93,325,208,0,0,0,8,13
94,326,208,1,1,8,8,2
95,327,208,0,0,0,8,8
96,328,208,0,0,0,8,5
97,329,147,0,0,0,8,4
98,330,147,0,0,0,8,4
99,331,147,0,0,0,8,5
100,332,147,0,0,0,8,19
101,333,147,0,0,0,8,11
102,334,169,1,1,8,8,14
103,335,169,1,1,8,8,29
104,336,169,0,0,7,8,30
105,337,169,0,0,0,8,30
106,338,169,0,0,0,8,30
107,351,137,1,1,8,8,4
108,352,137,1,1,8,8,6
109,353,137,1,1,8,8,13
110,354,137,1,1,8,8,5
111,355,137,1,1,8,8,5
112,358,206,1,1,8,8,3
113,359,206,1,1,8,8,4
114,360,206,0,0,0,8,5
115,361,206,0,0,0,8,2
116,362,206,1,1,5,8,5
117,368,188,1,1,8,8,1
118,376,182,1,0,8,8,1
119,384,666,1,1,8,8,10
120,385,666,1,1,5,8,7
121,386,1355,0,0,0,8,4
122,387,1356,1,1,8,8,6
123,388,1356,1,1,8,8,7
124,528,154,0,0,3,8,8
125,529,154,0,0,0,8,7
126,530,154,0,0,5,8,6
127,531,154,1,1,4,8,7
128,532,154,0,0,3,8,30
129,653,153,0,0,0,8,6
130,654,153,0,0,0,8,6
131,655,153,0,0,0,8,6
132,656,153,0,0,0,8,6
133,657,153,0,0,0,8,8
134,689,163,0,0,0,8,3
135,690,163,1,1,8,8,2
136,691,163,1,1,8,8,2
137,692,163,1,1,8,8,2
138,693,163,1,1,8,8,2
