idx,task_id,template_id,reward,judge,nc,n,steps
0,7,79,0,0,0,6,0
1,8,79,1,1,7,8,12
2,9,79,0,0,0,7,1
3,10,79,0,0,0,6,16
4,16,73,1,1,7,8,6
5,17,73,1,1,7,8,7
6,18,73,1,1,8,8,8
7,19,73,1,1,4,8,6
8,20,73,0,0,1,5,7
9,32,78,0,0,0,7,30
10,33,78,0,0,0,8,30
11,34,78,0,0,0,8,30
12,35,78,0,0,4,8,19
13,36,77,1,1,7,7,24
14,37,77,0,0,5,7,0
15,38,77,1,1,8,8,5
16,39,77,1,1,6,7,5
17,40,77,1,1,4,8,10
18,52,68,1,1,8,8,9
19,53,68,1,1,8,8,16
20,54,68,1,1,8,8,6
21,55,68,0,0,6,6,0
22,56,68,1,1,6,6,11
23,57,69,0,0,0,8,23
24,58,69,0,0,0,4,0
25,59,69,0,0,2,5,0
26,60,69,0,0,4,7,0
27,61,69,0,0,0,6,0
28,70,70,0,0,7,7,0
29,71,70,0,0,0,6,0
30,72,70,0,0,0,7,11
31,73,70,1,1,8,8,3
32,74,65,0,0,0,8,20
33,75,65,1,1,5,5,13
34,76,65,0,0,0,7,13
35,80,72,1,1,6,6,18
36,81,72,1,1,7,8,12
37,82,72,0,0,1,8,10
38,83,72,1,1,5,7,21
39,84,64,1,1,7,7,13
40,85,64,1,1,8,8,6
41,86,64,1,1,5,7,6
42,87,64,1,1,6,7,8
43,88,64,1,1,8,8,22
44,89,67,1,0,8,8,21
45,90,67,0,0,4,6,0
46,91,67,1,1,4,4,7
47,92,67,0,0,5,5,0
61,155,36,1,1,7,7,9
62,218,41,1,0,8,8,1
63,219,41,0,0,0,7,19
64,220,41,0,0,0,8,16
65,221,35,0,0,0,7,16
66,222,35,1,1,6,6,6
67,223,35,1,1,7,8,8
68,224,35,1,1,8,8,8
69,236,39,0,0,0,8,21
70,237,39,0,0,0,8,24
71,248,46,1,1,7,7,4
72,249,46,0,0,2,8,7
73,250,46,1,1,8,8,5
74,251,46,1,1,6,8,14
75,252,46,1,1,7,7,9
76,253,501,1,0,8,8,1
77,254,501,0,0,0,7,0
78,255,501,1,1,8,8,8
79,256,501,1,1,7,7,4
80,257,501,1,1,8,8,4
81,287,47,1,1,6,8,9
82,356,49,0,0,4,6,0
83,363,58,0,0,0,8,8
84,364,58,1,1,8,8,6
85,365,58,0,0,3,5,0
86,366,58,0,0,4,8,11
87,367,58,0,0,0,8,14
88,369,52,1,1,7,7,2
89,370,52,0,0,7,7,0
90,371,52,1,1,8,8,4
91,372,52,1,0,7,7,2
92,373,52,0,0,7,7,0
93,377,59,0,0,3,6,16
94,378,59,0,0,0,8,30
95,379,59,0,0,0,7,19
96,380,59,0,0,0,8,30
97,381,59,0,0,0,8,16
98,382,781,1,0,8,8,1
99,383,782,0,0,0,8,30
100,757,42,0,0,0,7,5
101,758,42,1,1,6,6,5
102,761,54,1,1,8,8,11
103,762,54,0,0,0,7,12
104,763,75,1,1,4,4,8
105,764,75,1,1,8,8,8
106,765,75,1,1,8,8,6
107,766,75,1,1,8,8,6
108,767,75,1,1,6,7,13
