idx,task_id,template_id,reward,judge,nc,n,steps
0,7,79,0,0,0,7,7
1,8,79,0,0,6,8,3
2,9,79,0,0,0,8,3
3,10,79,0,0,0,7,7
4,16,73,1,1,6,8,6
5,17,73,1,1,6,6,6
6,18,73,1,1,6,8,6
7,19,73,1,1,8,8,6
8,20,73,0,0,0,8,6
9,32,78,0,0,0,8,30
10,33,78,0,0,0,6,30
11,34,78,0,0,2,8,30
12,35,78,1,1,3,6,14
13,36,77,1,1,6,8,8
14,37,77,1,1,7,8,22
15,38,77,1,1,7,7,5
16,39,77,1,1,8,8,5
17,40,77,1,1,2,8,8
18,52,68,1,1,8,8,6
19,53,68,0,0,6,6,0
20,54,68,0,0,6,6,0
21,55,68,1,1,5,7,11
22,56,68,1,1,8,8,11
23,57,69,0,0,0,7,30
24,58,69,0,0,0,7,30
25,59,69,0,0,3,6,0
26,60,69,0,0,1,4,0
27,61,69,0,0,0,7,0
28,70,70,0,0,7,7,0
29,71,70,0,0,0,7,0
30,72,70,0,0,3,4,0
31,73,70,1,1,8,8,3
32,74,65,0,0,0,7,30
33,75,65,1,1,8,8,13
34,76,65,0,0,0,8,13
35,80,72,1,1,7,8,12
36,81,72,1,1,7,7,10
37,82,72,0,0,1,5,10
38,83,72,1,1,6,6,15
39,84,64,1,1,8,8,6
40,85,64,1,1,7,7,6
41,86,64,1,1,4,8,6
42,87,64,0,0,1,8,6
43,88,64,1,1,8,8,6
44,89,67,1,0,7,8,8
45,90,67,1,0,7,8,9
47,92,67,0,0,1,1,0
48,93,67,0,0,3,4,0
62,218,41,1,0,8,8,3
63,219,41,0,0,1,7,19
64,220,41,0,0,0,8,24
65,221,35,0,0,0,7,0
66,222,35,0,0,2,2,0
67,223,35,1,1,4,5,12
68,224,35,1,1,7,8,6
69,236,39,0,0,0,6,21
70,237,39,1,1,2,6,18
78,255,501,0,0,5,5,0
79,256,501,0,0,5,5,0
80,257,501,1,1,6,6,4
81,287,47,1,1,6,8,8
82,356,49,1,1,7,7,9
83,363,58,0,0,0,8,7
84,364,58,1,1,6,7,6
85,365,58,1,1,8,8,7
86,366,58,1,1,6,7,16
87,367,58,0,0,0,6,8
88,369,52,1,1,8,8,2
89,370,52,1,0,8,8,2
90,371,52,1,1,7,7,4
91,372,52,1,0,8,8,2
92,373,52,0,0,6,6,0
93,377,59,1,0,8,8,5
94,378,59,0,0,0,8,26
95,379,59,0,0,0,7,21
96,380,59,0,0,0,7,0
97,381,59,0,0,0,5,0
98,382,781,0,0,6,6,0
99,383,782,0,0,0,7,0
100,757,42,1,0,4,8,13
101,758,42,1,1,6,6,4
102,761,54,1,1,7,8,15
103,762,54,0,0,0,6,9
104,763,75,1,1,8,8,5
105,764,75,1,1,8,8,7
106,765,75,1,1,7,7,14
107,766,75,1,1,7,8,5
108,767,75,0,0,2,2,0
